date_month,localizacao
2024-03-31,"JÓIA, RIO GRANDE DO SUL"
2024-01-06,"NOVO HAMBURGO, RIO GRANDE DO SUL"
2024-01-06,"BUTIÁ, RIO GRANDE DO SUL"
2024-01-06,"CANOAS, RIO GRANDE DO SUL"
2024-02-01,"SANTO ANTÔNIO DA PATRULHA, RIO GRANDE DO SUL"
2024-02-02,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-02,"TAQUARI, RIO GRANDE DO SUL"
2024-02-02,"DOM FELICIANO, RIO GRANDE DO SUL"
2024-02-02,"MONTENEGRO, RIO GRANDE DO SUL"
2024-02-02,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-02-02,"TRIUNFO, RIO GRANDE DO SUL"
2024-02-02,"SÃO LEOPOLDO, RIO GRANDE DO SUL"
2024-02-03,"CHUVISCA, RIO GRANDE DO SUL"
2024-02-03,"DOM FELICIANO, RIO GRANDE DO SUL"
2024-02-05,"BAGÉ, RIO GRANDE DO SUL"
2024-02-08,"BAGÉ, RIO GRANDE DO SUL"
2024-02-08,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-02-08,"DOM PEDRITO, RIO GRANDE DO SUL"
2024-02-09,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-09,"SÃO GABRIEL, RIO GRANDE DO SUL"
2024-02-11,"CACEQUI, RIO GRANDE DO SUL"
2024-02-17,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-02-21,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-21,"ARROIO DOS RATOS, RIO GRANDE DO SUL"
2024-02-23,"CACEQUI, RIO GRANDE DO SUL"
2024-02-23,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-02-23,"SÃO SEPÉ, RIO GRANDE DO SUL"
2024-02-23,"CANGUÇU, RIO GRANDE DO SUL"
2024-02-23,"DOM PEDRITO, RIO GRANDE DO SUL"
2024-02-23,"PIRATINI, RIO GRANDE DO SUL"
2024-03-02,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-07,"PELOTAS, RIO GRANDE DO SUL"
2024-03-07,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-03-07,"PIRATINI, RIO GRANDE DO SUL"
2024-03-07,"FORMIGUEIRO, RIO GRANDE DO SUL"
2024-03-07,"HULHA NEGRA, RIO GRANDE DO SUL"
2024-03-07,"DOM FELICIANO, RIO GRANDE DO SUL"
2024-03-07,"SÃO JERÔNIMO, RIO GRANDE DO SUL"
2024-03-07,"CAÇAPAVA DO SUL, RIO GRANDE DO SUL"
2024-03-07,"MARIANA PIMENTEL, RIO GRANDE DO SUL"
2024-03-07,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-03-07,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-07,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-03-08,"DOM FELICIANO, RIO GRANDE DO SUL"
2024-03-12,"TRIUNFO, RIO GRANDE DO SUL"
